Rank,Year,Gender,Name,COUNT
1,2018,Female,EMMA,2700
2,2018,Female,MIA,2485
3,2018,Female,OLIVIA,2444
4,2018,Female,ISABELLA,2182
5,2018,Female,SOPHIA,2144
6,2018,Female,CAMILA,2069
7,2018,Female,EMILY,1493
8,2018,Female,SOFIA,1480
9,2018,Female,VICTORIA,1441
10,2018,Female,LUNA,1437
11,2018,Female,AVA,1380
12,2018,Female,ABIGAIL,1366
13,2018,Female,CHARLOTTE,1327
14,2018,Female,MILA,1281
15,2018,Female,AMELIA,1198
16,2018,Female,EVELYN,1150
17,2018,Female,ARIA,1068
18,2018,Female,PENELOPE,1066
19,2018,Female,SCARLETT,946
20,2018,Female,CHLOE,913
21,2018,Female,ELLA,889
22,2018,Female,ELIZABETH,881
23,2018,Female,AVERY,846
24,2018,Female,ZOE,829
25,2018,Female,GENESIS,802
1,2018,Male,NOAH,2558
2,2018,Male,LIAM,2389
3,2018,Male,SEBASTIAN,2203
4,2018,Male,MATEO,2079
5,2018,Male,ETHAN,2050
6,2018,Male,DANIEL,1983
7,2018,Male,JULIAN,1926
8,2018,Male,ALEXANDER,1887
9,2018,Male,BENJAMIN,1759
10,2018,Male,JACOB,1714
11,2018,Male,MATTHEW,1696
12,2018,Male,LUCAS,1540
13,2018,Male,JAYDEN,1533
14,2018,Male,OLIVER,1489
15,2018,Male,AIDEN,1469
16,2018,Male,LOGAN,1449
17,2018,Male,DAVID,1447
18,2018,Male,JAMES,1447
19,2018,Male,ELIJAH,1426
20,2018,Male,DYLAN,1360
21,2018,Male,MICHAEL,1342
22,2018,Male,NATHAN,1331
23,2018,Male,ISAAC,1318
24,2018,Male,MASON,1295
25,2018,Male,WILLIAM,1292
1,2005,Female,EMILY,3268
2,2005,Female,ASHLEY,2770
3,2005,Female,SAMANTHA,2483
4,2005,Female,ISABELLA,2333
5,2005,Female,MIA,2172
6,2005,Female,NATALIE,2035
7,2005,Female,SOPHIA,1876
8,2005,Female,EMMA,1626
9,2005,Female,ALYSSA,1612
10,2005,Female,MADISON,1523
11,2005,Female,JASMINE,1519
12,2005,Female,ELIZABETH,1479
13,2005,Female,JESSICA,1406
14,2005,Female,KIMBERLY,1397
15,2005,Female,ABIGAIL,1368
16,2005,Female,BRIANNA,1347
17,2005,Female,JENNIFER,1291
18,2005,Female,AVA,1223
19,2005,Female,HANNAH,1217
20,2005,Female,SARAH,1208
21,2005,Female,ALEXIS,1201
22,2005,Female,ANDREA,1197
23,2005,Female,ANGELINA,1175
24,2005,Female,STEPHANIE,1152
25,2005,Female,VANESSA,1151
1,2005,Male,DANIEL,3889
2,2005,Male,ANTHONY,3714
3,2005,Male,ANGEL,3538
4,2005,Male,DAVID,3243
5,2005,Male,JOSHUA,3203
6,2005,Male,JOSE,3187
7,2005,Male,ANDREW,3136
8,2005,Male,JACOB,3095
9,2005,Male,MATTHEW,2841
10,2005,Male,MICHAEL,2730
11,2005,Male,JONATHAN,2631
12,2005,Male,CHRISTOPHER,2581
13,2005,Male,JOSEPH,2526
14,2005,Male,ALEXANDER,2436
15,2005,Male,NATHAN,2399
16,2005,Male,ETHAN,2354
17,2005,Male,RYAN,2323
18,2005,Male,DIEGO,2279
19,2005,Male,JUAN,2207
20,2005,Male,KEVIN,2188
21,2005,Male,BRANDON,2112
22,2005,Male,CHRISTIAN,2006
23,2005,Male,LUIS,1987
24,2005,Male,JESUS,1959
25,2005,Male,GABRIEL,1941
